#lineslist	Inci 1215.00A 	C  4 1550.77A 	H  1 4861.32A 	H  1 6562.80A 	C  3 1908.73A 
iteration 5	1.0181e+09	1.4320e+08	2.1298e+07	4.1063e+07	5.8158e+06
iteration 4	1.8104e+09	9.5842e+07	2.1297e+07	4.0215e+07	7.3968e+05
iteration 4	3.2194e+09	1.2462e+07	1.6791e+07	3.3893e+07	1.0582e+04
iteration 4	5.7251e+09	6.8166e+06	1.1811e+07	2.7717e+07	1.7723e+03
iteration 4	1.0181e+10	3.9167e+06	9.3854e+06	2.3806e+07	3.6394e+02
iteration 4	1.8104e+10	2.9304e+06	6.7986e+06	1.7857e+07	4.9011e+01
iteration 3	3.2194e+10	1.2320e+06	5.0993e+06	1.2879e+07	8.9581e-01
iteration 3	5.7251e+10	1.5812e+04	3.3684e+06	8.1313e+06	1.9970e-03
iteration 3	1.0181e+11	8.0054e+02	1.5185e+06	3.6761e+06	1.9544e-05
iteration 3	1.8104e+11	1.3384e+02	7.4581e+05	1.7735e+06	6.8455e-07
iteration 3	3.2194e+11	5.2972e+01	4.9355e+05	1.1720e+06	0.0000e+00
iteration 3	5.7251e+11	2.4788e+01	3.1446e+05	7.6229e+05	0.0000e+00
iteration 3	1.0181e+12	1.0016e+01	1.5967e+05	4.0661e+05	0.0000e+00
iteration 3	1.8104e+12	2.3940e+00	8.1726e+04	2.2522e+05	0.0000e+00
iteration 3	3.2194e+12	5.1349e-01	4.7553e+04	1.4369e+05	0.0000e+00
iteration 3	5.7251e+12	1.1993e-01	3.0711e+04	1.0108e+05	0.0000e+00
iteration 3	1.0181e+13	3.0712e-02	2.1394e+04	7.4839e+04	0.0000e+00
iteration 3	1.8104e+13	0.0000e+00	1.5918e+04	5.6887e+04	0.0000e+00
iteration 3	1.8104e+06	6.2021e+03	4.2829e+04	3.4145e+05	9.9787e+04
iteration 3	3.2194e+06	4.1274e+04	7.0112e+04	6.5676e+05	2.6555e+05
iteration 3	5.7251e+06	2.0567e+05	1.2025e+05	1.2580e+06	6.0315e+05
iteration 3	1.0181e+07	7.7493e+05	2.4094e+05	2.3782e+06	1.1712e+06
iteration 3	1.8104e+07	2.2993e+06	5.3253e+05	4.3969e+06	1.9639e+06
iteration 4	3.2194e+07	5.6446e+06	1.1314e+06	7.8085e+06	2.9161e+06
iteration 4	5.7251e+07	1.2019e+07	2.2486e+06	1.3008e+07	3.9898e+06
iteration 4	1.0181e+08	2.2940e+07	4.0446e+06	2.0843e+07	5.2685e+06
iteration 4	1.8104e+08	3.9896e+07	6.8465e+06	3.1505e+07	7.2870e+06
iteration 4	3.2194e+08	6.3912e+07	1.0266e+07	4.2839e+07	1.2338e+07
iteration 4	5.7251e+08	9.4506e+07	1.4550e+07	5.0746e+07	2.7941e+07
iteration 10	1.0181e+09	1.3358e+08	1.9751e+07	4.6726e+07	6.4640e+07
iteration 5	1.8104e+09	2.0753e+08	3.0664e+07	5.5530e+07	7.2498e+06
iteration 5	3.2194e+09	1.6080e+08	3.3644e+07	5.8587e+07	1.0855e+06
iteration 5	5.7251e+09	2.3125e+07	2.8114e+07	5.3656e+07	1.4261e+04
iteration 4	1.0181e+10	1.2378e+07	2.1482e+07	4.4626e+07	2.1895e+03
iteration 5	1.8104e+10	7.0608e+06	1.6858e+07	4.0175e+07	4.3650e+02
iteration 4	3.2194e+10	5.2281e+06	1.1999e+07	3.0926e+07	5.5138e+01
iteration 4	5.7251e+10	2.0873e+06	8.8153e+06	2.2745e+07	9.2222e-01
iteration 3	1.0181e+11	2.7619e+04	5.8453e+06	1.4520e+07	2.1354e-03
iteration 3	1.8104e+11	1.4186e+03	2.6285e+06	6.4986e+06	2.1434e-05
iteration 3	3.2194e+11	2.3742e+02	1.2622e+06	3.0903e+06	7.4648e-07
iteration 3	5.7251e+11	9.3870e+01	8.0438e+05	2.0091e+06	0.0000e+00
iteration 3	1.0181e+12	4.3884e+01	4.9089e+05	1.2790e+06	0.0000e+00
iteration 3	1.8104e+12	1.7495e+01	2.3829e+05	6.6350e+05	0.0000e+00
iteration 3	3.2194e+12	4.1424e+00	1.1719e+05	3.5551e+05	0.0000e+00
iteration 3	5.7251e+12	8.7754e-01	6.6364e+04	2.1852e+05	0.0000e+00
iteration 3	1.0181e+13	2.0216e-01	4.2561e+04	1.4870e+05	0.0000e+00
iteration 3	1.8104e+13	5.0856e-02	3.0185e+04	1.0770e+05	0.0000e+00
iteration 4	1.8104e+06	1.3052e+03	4.6228e+04	4.1376e+05	4.2032e+04
iteration 3	3.2194e+06	1.1314e+04	7.9186e+04	7.9608e+05	1.2987e+05
iteration 3	5.7251e+06	7.6193e+04	1.4573e+05	1.4969e+06	3.4851e+05
iteration 3	1.0181e+07	3.8263e+05	3.0747e+05	2.7295e+06	7.9851e+05
iteration 3	1.8104e+07	1.4452e+06	6.6519e+05	4.8139e+06	1.5583e+06
iteration 4	3.2194e+07	4.2475e+06	1.3175e+06	8.1247e+06	2.6189e+06
iteration 4	5.7251e+07	1.0305e+07	2.4266e+06	1.2922e+07	3.8914e+06
iteration 4	1.0181e+08	2.1541e+07	4.1255e+06	1.9937e+07	5.3178e+06
iteration 4	1.8104e+08	3.9700e+07	6.7121e+06	3.0088e+07	7.2358e+06
iteration 4	3.2194e+08	6.5925e+07	1.0405e+07	4.2977e+07	1.1164e+07
iteration 4	5.7251e+08	9.9787e+07	1.4453e+07	5.5681e+07	2.1658e+07
iteration 4	1.0181e+09	1.4080e+08	1.9513e+07	6.2023e+07	4.6487e+07
iteration 5	1.8104e+09	1.9887e+08	3.0364e+07	6.4127e+07	9.7419e+07
iteration 5	3.2194e+09	3.0003e+08	4.1464e+07	7.1863e+07	8.9621e+06
iteration 5	5.7251e+09	2.6240e+08	4.7626e+07	7.6995e+07	1.5023e+06
iteration 5	1.0181e+10	4.3254e+07	4.5811e+07	7.5669e+07	1.7968e+04
iteration 5	1.8104e+10	2.2527e+07	3.5533e+07	7.0115e+07	2.5272e+03
iteration 5	3.2194e+10	1.2753e+07	2.9820e+07	6.3514e+07	4.9168e+02
iteration 5	5.7251e+10	9.3368e+06	2.1020e+07	5.1797e+07	5.8630e+01
iteration 4	1.0181e+11	3.5511e+06	1.5069e+07	3.9761e+07	9.0226e-01
iteration 3	1.8104e+11	4.8478e+04	9.8108e+06	2.5880e+07	2.1719e-03
iteration 3	3.2194e+11	2.5152e+03	4.3443e+06	1.1524e+07	2.2158e-05
iteration 3	5.7251e+11	4.2121e+02	2.0310e+06	5.4019e+06	7.6814e-07
iteration 3	1.0181e+12	1.6630e+02	1.2472e+06	3.4257e+06	0.0000e+00
iteration 3	1.8104e+12	7.7447e+01	7.3330e+05	2.1093e+06	0.0000e+00
iteration 3	3.2194e+12	3.0325e+01	3.4339e+05	1.0520e+06	0.0000e+00
iteration 3	5.7251e+12	7.0859e+00	1.6437e+05	5.4170e+05	0.0000e+00
iteration 3	1.0181e+13	1.4756e+00	9.2337e+04	3.2184e+05	0.0000e+00
iteration 3	1.8104e+13	3.3362e-01	6.0206e+04	2.1419e+05	0.0000e+00
iteration 4	1.8104e+06	2.1251e+02	5.1477e+04	5.0579e+05	1.4345e+04
iteration 3	3.2194e+06	2.3500e+03	9.5230e+04	9.7919e+05	5.0240e+04
iteration 3	5.7251e+06	2.0896e+04	1.9385e+05	1.8088e+06	1.5783e+05
iteration 3	1.0181e+07	1.4405e+05	4.2033e+05	3.1729e+06	4.3156e+05
iteration 3	1.8104e+07	7.2833e+05	8.5671e+05	5.3058e+06	9.9849e+05
iteration 4	3.2194e+07	2.7141e+06	1.5664e+06	8.4802e+06	1.9450e+06
iteration 4	5.7251e+07	7.8199e+06	2.6680e+06	1.2923e+07	3.2331e+06
iteration 4	1.0181e+08	1.8422e+07	4.2929e+06	1.9246e+07	4.7235e+06
iteration 4	1.8104e+08	3.7059e+07	6.6443e+06	2.8348e+07	6.5098e+06
iteration 4	3.2194e+08	6.5662e+07	9.9572e+06	4.0915e+07	9.3517e+06
iteration 4	5.7251e+08	1.0472e+08	1.4008e+07	5.5657e+07	1.5488e+07
iteration 4	1.0181e+09	1.5309e+08	1.9096e+07	6.9353e+07	2.9552e+07
iteration 5	1.8104e+09	2.1088e+08	2.4353e+07	7.3274e+07	5.6866e+07
iteration 5	3.2194e+09	2.9503e+08	3.9840e+07	8.1415e+07	1.0805e+08
iteration 5	5.7251e+09	4.4002e+08	5.3042e+07	8.8727e+07	1.0952e+07
iteration 5	1.0181e+10	4.2214e+08	6.3318e+07	9.2705e+07	1.9766e+06
iteration 5	1.8104e+10	8.1283e+07	6.2635e+07	1.0013e+08	2.1178e+04
iteration 5	3.2194e+10	4.1093e+07	5.6459e+07	9.8471e+07	2.7737e+03
iteration 5	5.7251e+10	2.3064e+07	4.9028e+07	9.3605e+07	5.2848e+02
iteration 5	1.0181e+11	1.6678e+07	3.6092e+07	8.0508e+07	5.9984e+01
iteration 4	1.8104e+11	6.0703e+06	2.5317e+07	6.6833e+07	8.5584e-01
iteration 3	3.2194e+11	8.5460e+04	1.5931e+07	4.5258e+07	2.1371e-03
iteration 3	5.7251e+11	4.4565e+03	6.8558e+06	2.0224e+07	2.1935e-05
iteration 3	1.0181e+12	7.4671e+02	3.1186e+06	9.3218e+06	7.5788e-07
iteration 3	1.8104e+12	2.9466e+02	1.8583e+06	5.7021e+06	0.0000e+00
iteration 3	3.2194e+12	1.3620e+02	1.0636e+06	3.3635e+06	0.0000e+00
iteration 3	5.7251e+12	5.2042e+01	4.8613e+05	1.6079e+06	0.0000e+00
iteration 3	1.0181e+13	1.1940e+01	2.3043e+05	7.9954e+05	0.0000e+00
iteration 3	1.8104e+13	2.4289e+00	1.3125e+05	4.6429e+05	0.0000e+00
iteration 4	1.8104e+06	2.9228e+01	5.9267e+04	6.0999e+05	4.4077e+03
iteration 3	3.2194e+06	3.7621e+02	1.2202e+05	1.1951e+06	1.5880e+04
iteration 3	5.7251e+06	4.3058e+03	2.7307e+05	2.1714e+06	5.6808e+04
iteration 3	1.0181e+07	4.0124e+04	5.8157e+05	3.6526e+06	1.8469e+05
iteration 3	1.8104e+07	2.7948e+05	1.0924e+06	5.7847e+06	5.1307e+05
iteration 3	3.2194e+07	1.3923e+06	1.8456e+06	8.7999e+06	1.1801e+06
iteration 4	5.7251e+07	5.0697e+06	2.9591e+06	1.2942e+07	2.2507e+06
iteration 4	1.0181e+08	1.4023e+07	4.5300e+06	1.8674e+07	3.6545e+06
iteration 4	1.8104e+08	3.1700e+07	6.7055e+06	2.6732e+07	5.3146e+06
iteration 4	3.2194e+08	6.1659e+07	9.6635e+06	3.8032e+07	7.4532e+06
iteration 4	5.7251e+08	1.0611e+08	1.3601e+07	5.2781e+07	1.0941e+07
iteration 4	1.0181e+09	1.6486e+08	1.8216e+07	6.8884e+07	1.7893e+07
iteration 4	1.8104e+09	2.3605e+08	2.3549e+07	8.2439e+07	3.1530e+07
iteration 6	3.2194e+09	3.1979e+08	2.9549e+07	8.2232e+07	5.5696e+07
iteration 5	5.7251e+09	4.4178e+08	5.0213e+07	9.5308e+07	1.1047e+08
iteration 5	1.0181e+10	6.4244e+08	6.0475e+07	9.9012e+07	1.2806e+07
iteration 5	1.8104e+10	6.6364e+08	6.8072e+07	1.0585e+08	2.4311e+06
iteration 5	3.2194e+10	1.5209e+08	8.1302e+07	1.2290e+08	2.2974e+04
iteration 5	5.7251e+10	7.5184e+07	7.9780e+07	1.2699e+08	2.9400e+03
iteration 5	1.0181e+11	4.1784e+07	7.3626e+07	1.2707e+08	5.5070e+02
iteration 5	1.8104e+11	2.9761e+07	5.7880e+07	1.1568e+08	5.9842e+01
iteration 4	3.2194e+11	1.0409e+07	4.1183e+07	1.0473e+08	7.9670e-01
iteration 3	5.7251e+11	1.5080e+05	2.5141e+07	7.5802e+07	2.0553e-03
iteration 3	1.0181e+12	7.8736e+03	1.0432e+07	3.4310e+07	2.1047e-05
iteration 3	1.8104e+12	1.3212e+03	4.6301e+06	1.5515e+07	7.2574e-07
iteration 3	3.2194e+12	5.2157e+02	2.7045e+06	9.1023e+06	0.0000e+00
iteration 3	5.7251e+12	2.3831e+02	1.5256e+06	5.1522e+06	0.0000e+00
iteration 3	1.0181e+13	8.8176e+01	6.8996e+05	2.3787e+06	0.0000e+00
iteration 3	1.8104e+13	1.9711e+01	3.3020e+05	1.1561e+06	0.0000e+00
iteration 4	1.8104e+06	4.2101e+00	6.9630e+04	7.1451e+05	1.3873e+03
iteration 3	3.2194e+06	5.1109e+01	1.6050e+05	1.4129e+06	4.5764e+03
iteration 3	5.7251e+06	6.8879e+02	3.8186e+05	2.5236e+06	1.6833e+04
iteration 3	1.0181e+07	8.3931e+03	7.7458e+05	4.0768e+06	6.3373e+04
iteration 3	1.8104e+07	8.0173e+04	1.3470e+06	6.1625e+06	2.1224e+05
iteration 3	3.2194e+07	5.5136e+05	2.1462e+06	9.0409e+06	5.8447e+05
iteration 4	5.7251e+07	2.6689e+06	3.2778e+06	1.2924e+07	1.3110e+06
iteration 4	1.0181e+08	9.2706e+06	4.8087e+06	1.8157e+07	2.4435e+06
iteration 4	1.8104e+08	2.4447e+07	6.8538e+06	2.5346e+07	3.9217e+06
iteration 4	3.2194e+08	5.3373e+07	9.5637e+06	3.5258e+07	5.6970e+06
iteration 4	5.7251e+08	1.0110e+08	1.3089e+07	4.8603e+07	7.9462e+06
iteration 4	1.0181e+09	1.7001e+08	1.7516e+07	6.4926e+07	1.1340e+07
iteration 4	1.8104e+09	2.5892e+08	2.2433e+07	8.2245e+07	1.7279e+07
iteration 5	3.2194e+09	3.6438e+08	2.8708e+07	9.6198e+07	2.7952e+07
iteration 10	5.7251e+09	4.8361e+08	3.9234e+07	9.8923e+07	4.7514e+07
iteration 5	1.0181e+10	6.6452e+08	5.7826e+07	1.0785e+08	1.0604e+08
iteration 5	1.8104e+10	9.7304e+08	7.3981e+07	1.2066e+08	1.5144e+07
iteration 5	3.2194e+10	1.0350e+09	7.2561e+07	1.1450e+08	2.8126e+06
iteration 5	5.7251e+10	2.7714e+08	9.6832e+07	1.4014e+08	2.2427e+04
iteration 5	1.0181e+11	1.3784e+08	9.6936e+07	1.4489e+08	3.0256e+03
iteration 5	1.8104e+11	7.5839e+07	9.7471e+07	1.5292e+08	5.6137e+02
iteration 5	3.2194e+11	5.2990e+07	8.5565e+07	1.5500e+08	5.8622e+01
iteration 5	5.7251e+11	1.7903e+07	6.3733e+07	1.4888e+08	7.3535e-01
iteration 4	1.0181e+12	2.6649e+05	3.8714e+07	1.1718e+08	1.9539e-03
iteration 3	1.8104e+12	1.3817e+04	1.5518e+07	5.5024e+07	1.9667e-05
iteration 3	3.2194e+12	2.3313e+03	6.7586e+06	2.4486e+07	6.7969e-07
iteration 3	5.7251e+12	9.2125e+02	3.9152e+06	1.3866e+07	0.0000e+00
iteration 3	1.0181e+13	4.1426e+02	2.2056e+06	7.6293e+06	0.0000e+00
iteration 3	1.8104e+13	1.4677e+02	1.0013e+06	3.4460e+06	0.0000e+00
iteration 5	1.8104e+06	7.6081e-01	8.2228e+04	8.1171e+05	4.8271e+02
iteration 4	3.2194e+06	7.3165e+00	2.0571e+05	1.6045e+06	1.3616e+03
iteration 3	5.7251e+06	9.3207e+01	4.9951e+05	2.8123e+06	4.5073e+03
iteration 3	1.0181e+07	1.3686e+03	9.6728e+05	4.3784e+06	1.7721e+04
iteration 3	1.8104e+07	1.7425e+04	1.5935e+06	6.4017e+06	7.0076e+04
iteration 3	3.2194e+07	1.6683e+05	2.4429e+06	9.1444e+06	2.3550e+05
iteration 4	5.7251e+07	1.1068e+06	3.6079e+06	1.2826e+07	6.3832e+05
iteration 4	1.0181e+08	5.0734e+06	5.1339e+06	1.7672e+07	1.4018e+06
iteration 4	1.8104e+08	1.6620e+07	7.0828e+06	2.4107e+07	2.5714e+06
iteration 4	3.2194e+08	4.1912e+07	9.6087e+06	3.2792e+07	4.0995e+06
iteration 4	5.7251e+08	8.8540e+07	1.2807e+07	4.4491e+07	5.9012e+06
iteration 4	1.0181e+09	1.6350e+08	1.6893e+07	5.9529e+07	8.0092e+06
iteration 4	1.8104e+09	2.6897e+08	2.1730e+07	7.7370e+07	1.0799e+07
iteration 4	3.2194e+09	4.0168e+08	2.7454e+07	9.6499e+07	1.5204e+07
iteration 5	5.7251e+09	5.5641e+08	3.3930e+07	1.0965e+08	2.3137e+07
iteration 6	1.0181e+10	7.3906e+08	5.0551e+07	1.1438e+08	5.0674e+07
iteration 5	1.8104e+10	9.9270e+08	6.6884e+07	1.2052e+08	1.0491e+08
iteration 5	3.2194e+10	1.4308e+09	8.6711e+07	1.3320e+08	1.6825e+07
iteration 7	5.7251e+10	1.5804e+09	8.8251e+07	1.3215e+08	2.9525e+06
iteration 5	1.0181e+11	4.9142e+08	1.0639e+08	1.5250e+08	2.0231e+04
iteration 5	1.8104e+11	2.5233e+08	1.2276e+08	1.8028e+08	3.0038e+03
iteration 5	3.2194e+11	1.3793e+08	1.2391e+08	1.9100e+08	5.5969e+02
iteration 5	5.7251e+11	9.4410e+07	1.1752e+08	1.9743e+08	5.6721e+01
iteration 5	1.0181e+12	3.0661e+07	9.4293e+07	1.9839e+08	6.7040e-01
iteration 4	1.8104e+12	4.6659e+05	5.8356e+07	1.6892e+08	1.8210e-03
iteration 3	3.2194e+12	2.3941e+04	2.2839e+07	8.2563e+07	1.7877e-05
iteration 3	5.7251e+12	4.0984e+03	9.8545e+06	3.6568e+07	6.2454e-07
iteration 3	1.0181e+13	1.6212e+03	5.7342e+06	2.0342e+07	0.0000e+00
iteration 3	1.8104e+13	7.1437e+02	3.2630e+06	1.1064e+07	0.0000e+00
iteration 4	1.8104e+06	1.7384e-01	9.5981e+04	8.9403e+05	1.8505e+02
iteration 4	3.2194e+06	1.3219e+00	2.5087e+05	1.7560e+06	4.4868e+02
iteration 3	5.7251e+06	1.3292e+01	6.0563e+05	3.0097e+06	1.2346e+03
iteration 3	1.0181e+07	1.8875e+02	1.1376e+06	4.5607e+06	4.3644e+03
iteration 3	1.8104e+07	3.0524e+03	1.8179e+06	6.5072e+06	1.8558e+04
iteration 3	3.2194e+07	3.8430e+04	2.7174e+06	9.1357e+06	7.5143e+04
iteration 3	5.7251e+07	3.5150e+05	3.9372e+06	1.2640e+07	2.5296e+05
iteration 4	1.0181e+08	2.2016e+06	5.4858e+06	1.7191e+07	6.8068e+05
iteration 4	1.8104e+08	9.4690e+06	7.4150e+06	2.3061e+07	1.4679e+06
iteration 4	3.2194e+08	2.9268e+07	9.7964e+06	3.0730e+07	2.6699e+06
iteration 4	5.7251e+08	7.0554e+07	1.2838e+07	4.0900e+07	4.2454e+06
iteration 4	1.0181e+09	1.4388e+08	1.6576e+07	5.4174e+07	6.0480e+06
iteration 4	1.8104e+09	2.5828e+08	2.1195e+07	7.1170e+07	7.9367e+06
iteration 4	3.2194e+09	4.1489e+08	2.6585e+07	9.0155e+07	1.0106e+07
iteration 4	5.7251e+09	6.0752e+08	3.3118e+07	1.0972e+08	1.3390e+07
iteration 5	1.0181e+10	8.3044e+08	4.0632e+07	1.2421e+08	1.9753e+07
iteration 5	1.8104e+10	1.0914e+09	5.9636e+07	1.2702e+08	4.5707e+07
iteration 5	3.2194e+10	1.4474e+09	7.0294e+07	1.2294e+08	1.0666e+08
iteration 5	5.7251e+10	2.0736e+09	9.8197e+07	1.5429e+08	1.7721e+07
iteration 5	1.0181e+11	2.2270e+09	1.1207e+08	1.5932e+08	2.4270e+06
iteration 5	1.8104e+11	8.5473e+08	1.3614e+08	1.9854e+08	1.7632e+04
iteration 5	3.2194e+11	4.5947e+08	1.4782e+08	2.3032e+08	2.8812e+03
iteration 5	5.7251e+11	2.5142e+08	1.5202e+08	2.3765e+08	5.4467e+02
iteration 5	1.0181e+12	1.6855e+08	1.5424e+08	2.4159e+08	5.4112e+01
iteration 5	1.8104e+12	5.2467e+07	1.3545e+08	2.5052e+08	6.0833e-01
iteration 4	3.2194e+12	8.0667e+05	8.7029e+07	2.2834e+08	1.6644e-03
iteration 3	5.7251e+12	4.0544e+04	3.3543e+07	1.1646e+08	1.5651e-05
iteration 3	1.0181e+13	7.1667e+03	1.4540e+07	5.2277e+07	5.6228e-07
iteration 3	1.8104e+13	2.8403e+03	8.5934e+06	2.9175e+07	0.0000e+00
iteration 5	1.8104e+06	3.4866e-02	1.0931e+05	9.5974e+05	7.5663e+01
iteration 4	3.2194e+06	3.0045e-01	2.9198e+05	1.8675e+06	1.6422e+02
iteration 3	5.7251e+06	2.3606e+00	6.9393e+05	3.1382e+06	3.7409e+02
iteration 3	1.0181e+07	2.6892e+01	1.2864e+06	4.6673e+06	1.0858e+03
iteration 3	1.8104e+07	4.4917e+02	2.0248e+06	6.5469e+06	4.2225e+03
iteration 3	3.2194e+07	7.0992e+03	2.9705e+06	9.0397e+06	1.8940e+04
iteration 3	5.7251e+07	8.3437e+04	4.2345e+06	1.2375e+07	7.8953e+04
iteration 4	1.0181e+08	7.2389e+05	5.8487e+06	1.6693e+07	2.6867e+05
iteration 4	1.8104e+08	4.2655e+06	7.8372e+06	2.2176e+07	7.1422e+05
iteration 4	3.2194e+08	1.7295e+07	1.0222e+07	2.9133e+07	1.5204e+06
iteration 4	5.7251e+08	5.0357e+07	1.3173e+07	3.8042e+07	2.7676e+06
iteration 4	1.0181e+09	1.1581e+08	1.6739e+07	4.9545e+07	4.4265e+06
iteration 4	1.8104e+09	2.2679e+08	2.1102e+07	6.4378e+07	6.2683e+06
iteration 4	3.2194e+09	3.9428e+08	2.6443e+07	8.2879e+07	8.0245e+06
iteration 4	5.7251e+09	6.1734e+08	3.2822e+07	1.0355e+08	9.7917e+06
iteration 4	1.0181e+10	8.8817e+08	4.0678e+07	1.2511e+08	1.2433e+07
iteration 5	1.8104e+10	1.1996e+09	4.9564e+07	1.4080e+08	1.8007e+07
iteration 5	3.2194e+10	1.5478e+09	7.1670e+07	1.4923e+08	4.0997e+07
iteration 5	5.7251e+10	2.0332e+09	7.8855e+07	1.3367e+08	1.0522e+08
iteration 5	1.0181e+11	2.8682e+09	1.0959e+08	1.5966e+08	1.7157e+07
iteration 6	1.8104e+11	2.8273e+09	1.3460e+08	1.8881e+08	1.1950e+06
iteration 5	3.2194e+11	1.4515e+09	1.4232e+08	1.9199e+08	1.5090e+04
iteration 5	5.7251e+11	8.2636e+08	1.7349e+08	2.5174e+08	2.6755e+03
iteration 5	1.0181e+12	4.5735e+08	1.8763e+08	2.7527e+08	5.1783e+02
iteration 5	1.8104e+12	3.0278e+08	2.0060e+08	2.8947e+08	5.0967e+01
iteration 5	3.2194e+12	8.9061e+07	1.9315e+08	3.0532e+08	5.4455e-01
iteration 4	5.7251e+12	1.3571e+06	1.2972e+08	2.9702e+08	1.4678e-03
iteration 3	1.0181e+13	6.6123e+04	4.9244e+07	1.5686e+08	1.2944e-05
iteration 3	1.8104e+13	1.2455e+04	2.1797e+07	7.2709e+07	4.9466e-07
iteration 4	1.8104e+06	7.0812e-03	1.2110e+05	1.0072e+06	3.2044e+01
iteration 4	3.2194e+06	5.8950e-02	3.2494e+05	1.9422e+06	6.4884e+01
iteration 4	5.7251e+06	5.2712e-01	7.6017e+05	3.2262e+06	1.2848e+02
iteration 3	1.0181e+07	4.6210e+00	1.4129e+06	4.7549e+06	3.0372e+02
iteration 3	1.8104e+07	6.3024e+01	2.2227e+06	6.5874e+06	9.6679e+02
iteration 3	3.2194e+07	1.0975e+03	3.2225e+06	8.9440e+06	4.0789e+03
iteration 3	5.7251e+07	1.5416e+04	4.5328e+06	1.2085e+07	1.9302e+04
iteration 4	1.0181e+08	1.7193e+05	6.2366e+06	1.6187e+07	8.2852e+04
iteration 4	1.8104e+08	1.4311e+06	8.3514e+06	2.1440e+07	2.8240e+05
iteration 4	3.2194e+08	8.0370e+06	1.0872e+07	2.7950e+07	7.4172e+05
iteration 4	5.7251e+08	3.0914e+07	1.3859e+07	3.6056e+07	1.5764e+06
iteration 4	1.0181e+09	8.4459e+07	1.7497e+07	4.6224e+07	2.9078e+06
iteration 4	1.8104e+09	1.8423e+08	2.1736e+07	5.9127e+07	4.7087e+06
iteration 4	3.2194e+09	3.4472e+08	2.6923e+07	7.5389e+07	6.6509e+06
iteration 4	5.7251e+09	5.7740e+08	3.3343e+07	9.5466e+07	8.3482e+06
iteration 4	1.0181e+10	8.8234e+08	4.1911e+07	1.1995e+08	9.8957e+06
iteration 4	1.8104e+10	1.2501e+09	5.1175e+07	1.4386e+08	1.2236e+07
iteration 6	3.2194e+10	1.6630e+09	6.2127e+07	1.6052e+08	1.7611e+07
iteration 5	5.7251e+10	2.1262e+09	8.8731e+07	1.6221e+08	3.9877e+07
iteration 5	1.0181e+11	2.7850e+09	8.8198e+07	1.4397e+08	1.0629e+08
iteration 5	1.8104e+11	3.8608e+09	1.2258e+08	1.6966e+08	1.5551e+07
iteration 5	3.2194e+11	3.6117e+09	1.2412e+08	1.6959e+08	2.6350e+05
iteration 5	5.7251e+11	2.4099e+09	1.5900e+08	2.0512e+08	1.2885e+04
iteration 5	1.0181e+12	1.4650e+09	2.0241e+08	2.7546e+08	2.4369e+03
iteration 5	1.8104e+12	8.2501e+08	2.2418e+08	2.9216e+08	4.7335e+02
iteration 5	3.2194e+12	5.3936e+08	2.6403e+08	3.3167e+08	4.6584e+01
iteration 4	5.7251e+12	1.4797e+08	2.7828e+08	3.6678e+08	4.7276e-01
iteration 4	1.0181e+13	2.1935e+06	1.9449e+08	3.8298e+08	1.2299e-03
iteration 3	1.8104e+13	1.0243e+05	7.1922e+07	2.0553e+08	9.9192e-06
iteration 4	1.8104e+06	1.4738e-03	1.2955e+05	1.0365e+06	1.3766e+01
iteration 4	3.2194e+06	1.1660e-02	3.4670e+05	1.9824e+06	2.6953e+01
iteration 4	5.7251e+06	1.0079e-01	8.0497e+05	3.2820e+06	4.9081e+01
iteration 4	1.0181e+07	9.7821e-01	1.5085e+06	4.8384e+06	9.9100e+01
iteration 3	1.8104e+07	9.9141e+00	2.4121e+06	6.6783e+06	2.5496e+02
iteration 3	3.2194e+07	1.5070e+02	3.5021e+06	8.9566e+06	8.8970e+02
iteration 3	5.7251e+07	2.4169e+03	4.8821e+06	1.1905e+07	4.0422e+03
iteration 3	1.0181e+08	3.1184e+04	6.6935e+06	1.5786e+07	1.9964e+04
iteration 4	1.8104e+08	3.3750e+05	8.9733e+06	2.0831e+07	8.6861e+04
iteration 4	3.2194e+08	2.7388e+06	1.1765e+07	2.7137e+07	2.9515e+05
iteration 4	5.7251e+08	1.4831e+07	1.5030e+07	3.4816e+07	7.7179e+05
iteration 4	1.0181e+09	5.3977e+07	1.8937e+07	4.4177e+07	1.6584e+06
iteration 4	1.8104e+09	1.3752e+08	2.3417e+07	5.5854e+07	3.1212e+06
iteration 4	3.2194e+09	2.8268e+08	2.8897e+07	7.0605e+07	5.1084e+06
iteration 4	5.7251e+09	5.0323e+08	3.5457e+07	8.9307e+07	7.1902e+06
iteration 4	1.0181e+10	8.1195e+08	4.3999e+07	1.1218e+08	8.9078e+06
iteration 4	1.8104e+10	1.2145e+09	5.4284e+07	1.3965e+08	1.0428e+07
iteration 4	3.2194e+10	1.6914e+09	6.7529e+07	1.6925e+08	1.2766e+07
iteration 10	5.7251e+10	2.2341e+09	8.2985e+07	1.8751e+08	1.7682e+07
iteration 5	1.0181e+11	2.8352e+09	1.1337e+08	1.8588e+08	4.3189e+07
iteration 5	1.8104e+11	3.7549e+09	1.2292e+08	1.7484e+08	1.0760e+08
iteration 5	3.2194e+11	5.1357e+09	1.3075e+08	1.7539e+08	1.3490e+07
iteration 5	5.7251e+11	4.8826e+09	1.6218e+08	1.9932e+08	1.0460e+05
iteration 5	1.0181e+12	3.8877e+09	1.9808e+08	2.3521e+08	1.0980e+04
