#lineslist	Inci 1215.00A 	C  4 1550.77A 	H  1 4861.32A 	H  1 6562.80A 	C  3 1908.73A 
iteration 3	5.7251e+08	1.8997e+02	3.1836e+04	8.4271e+04	1.2654e-04
iteration 3	1.0181e+09	8.3748e+00	1.4274e+04	3.9867e+04	9.5853e-07
iteration 3	1.8104e+09	1.3746e+00	7.4010e+03	2.0466e+04	3.3165e-08
iteration 3	3.2194e+09	5.4223e-01	5.2746e+03	1.4439e+04	0.0000e+00
iteration 3	5.7251e+09	2.5392e-01	3.7130e+03	1.0151e+04	0.0000e+00
iteration 3	1.0181e+10	1.0433e-01	2.1592e+03	5.9427e+03	0.0000e+00
iteration 3	1.8104e+10	2.5253e-02	1.3149e+03	3.6365e+03	0.0000e+00
iteration 3	3.2194e+10	5.5271e-03	9.4254e+02	2.5994e+03	0.0000e+00
iteration 3	5.7251e+10	1.3282e-03	7.6872e+02	2.0894e+03	0.0000e+00
iteration 3	1.0181e+11	3.5439e-04	6.8032e+02	1.7945e+03	0.0000e+00
iteration 3	1.8104e+11	0.0000e+00	6.2791e+02	1.5894e+03	0.0000e+00
iteration 3	3.2194e+11	0.0000e+00	5.8389e+02	1.4268e+03	0.0000e+00
iteration 3	5.7251e+11	0.0000e+00	5.3088e+02	1.2905e+03	0.0000e+00
iteration 3	1.0181e+12	0.0000e+00	4.6290e+02	1.1704e+03	0.0000e+00
iteration 3	1.8104e+12	0.0000e+00	3.8515e+02	1.0530e+03	0.0000e+00
iteration 3	3.2194e+12	0.0000e+00	3.0781e+02	9.2614e+02	0.0000e+00
iteration 3	5.7251e+12	0.0000e+00	2.3969e+02	7.8833e+02	0.0000e+00
iteration 3	1.0181e+13	0.0000e+00	1.8567e+02	6.5035e+02	0.0000e+00
iteration 3	1.8104e+13	0.0000e+00	1.4672e+02	5.2535e+02	0.0000e+00
iteration 3	1.8104e+06	3.5597e+05	3.5217e+04	1.7587e+05	1.0838e+05
iteration 3	3.2194e+06	6.1751e+05	5.9686e+04	3.3114e+05	1.3384e+05
iteration 4	5.7251e+06	1.0507e+06	9.9499e+04	6.3267e+05	1.6689e+05
iteration 4	1.0181e+07	1.7929e+06	1.6776e+05	1.0898e+06	2.1140e+05
iteration 4	1.8104e+07	3.1005e+06	2.7875e+05	1.4376e+06	2.6970e+05
iteration 4	3.2194e+07	1.5632e+06	3.1897e+05	1.0878e+06	1.7544e+04
iteration 4	5.7251e+07	1.8821e+05	2.5235e+05	7.2850e+05	3.5077e+02
iteration 4	1.0181e+08	1.1037e+05	1.9691e+05	5.4188e+05	8.1393e+01
iteration 4	1.8104e+08	6.6081e+04	1.6983e+05	4.5954e+05	1.9419e+01
iteration 3	3.2194e+08	5.1744e+04	1.3582e+05	3.6134e+05	3.6898e+00
iteration 3	5.7251e+08	3.2137e+04	9.6662e+04	2.5263e+05	1.2942e-01
iteration 3	1.0181e+09	3.2478e+02	5.6308e+04	1.4891e+05	1.9865e-04
iteration 3	1.8104e+09	1.4818e+01	2.5366e+04	7.0799e+04	1.5792e-06
iteration 3	3.2194e+09	2.4285e+00	1.3126e+04	3.6277e+04	5.4896e-08
iteration 3	5.7251e+09	9.5928e-01	9.3325e+03	2.5522e+04	0.0000e+00
iteration 3	1.0181e+10	4.4918e-01	6.5507e+03	1.7878e+04	0.0000e+00
iteration 3	1.8104e+10	1.8437e-01	3.7962e+03	1.0411e+04	0.0000e+00
iteration 3	3.2194e+10	4.4679e-02	2.3054e+03	6.3240e+03	0.0000e+00
iteration 3	5.7251e+10	9.7947e-03	1.6512e+03	4.4730e+03	0.0000e+00
iteration 3	1.0181e+11	2.3552e-03	1.3466e+03	3.5448e+03	0.0000e+00
iteration 3	1.8104e+11	6.2833e-04	1.1859e+03	2.9982e+03	0.0000e+00
iteration 3	3.2194e+11	0.0000e+00	1.0740e+03	2.6231e+03	0.0000e+00
iteration 3	5.7251e+11	0.0000e+00	9.6215e+02	2.3384e+03	0.0000e+00
iteration 3	1.0181e+12	0.0000e+00	8.3200e+02	2.1036e+03	0.0000e+00
iteration 3	1.8104e+12	0.0000e+00	6.8903e+02	1.8840e+03	0.0000e+00
iteration 3	3.2194e+12	0.0000e+00	5.4924e+02	1.6526e+03	0.0000e+00
iteration 3	5.7251e+12	0.0000e+00	4.2706e+02	1.4046e+03	0.0000e+00
iteration 3	1.0181e+13	0.0000e+00	3.3054e+02	1.1578e+03	0.0000e+00
iteration 3	1.8104e+13	0.0000e+00	2.6108e+02	9.3482e+02	0.0000e+00
iteration 3	1.8104e+06	3.5826e+05	3.5640e+04	1.7927e+05	1.5573e+05
iteration 3	3.2194e+06	6.4876e+05	6.0133e+04	3.4535e+05	1.9248e+05
iteration 4	5.7251e+06	1.1249e+06	1.0064e+05	7.0940e+05	2.3622e+05
iteration 4	1.0181e+07	1.9136e+06	1.7702e+05	1.4882e+06	2.9232e+05
iteration 5	1.8104e+07	3.2668e+06	3.2026e+05	2.3850e+06	3.6755e+05
iteration 4	3.2194e+07	5.6450e+06	5.3899e+05	2.5651e+06	4.6557e+05
iteration 4	5.7251e+07	2.9176e+06	5.6858e+05	1.9480e+06	3.2100e+04
iteration 4	1.0181e+08	3.4018e+05	4.4148e+05	1.2996e+06	6.0810e+02
iteration 4	1.8104e+08	1.9817e+05	3.4740e+05	9.6080e+05	1.3791e+02
iteration 4	3.2194e+08	1.1809e+05	2.9963e+05	8.1038e+05	3.2538e+01
iteration 3	5.7251e+08	9.2151e+04	2.3817e+05	6.3210e+05	6.0350e+00
iteration 3	1.0181e+09	5.5334e+04	1.7029e+05	4.4401e+05	1.9920e-01
iteration 3	1.8104e+09	5.6894e+02	1.0024e+05	2.6447e+05	3.1657e-04
iteration 3	3.2194e+09	2.6162e+01	4.5058e+04	1.2557e+05	2.5626e-06
iteration 3	5.7251e+09	4.2956e+00	2.3250e+04	6.4175e+04	8.9732e-08
iteration 3	1.0181e+10	1.6968e+00	1.6484e+04	4.4975e+04	0.0000e+00
iteration 3	1.8104e+10	7.9497e-01	1.1535e+04	3.1336e+04	0.0000e+00
iteration 3	3.2194e+10	3.2659e-01	6.6660e+03	1.8110e+04	0.0000e+00
iteration 3	5.7251e+10	7.9194e-02	4.0435e+03	1.0884e+04	0.0000e+00
iteration 3	1.0181e+11	1.7371e-02	2.8946e+03	7.5900e+03	0.0000e+00
iteration 3	1.8104e+11	4.1760e-03	2.3482e+03	5.9239e+03	0.0000e+00
iteration 3	3.2194e+11	1.1130e-03	2.0287e+03	4.9497e+03	0.0000e+00
iteration 3	5.7251e+11	0.0000e+00	1.7698e+03	4.3003e+03	0.0000e+00
iteration 3	1.0181e+12	0.0000e+00	1.5079e+03	3.8126e+03	0.0000e+00
iteration 3	1.8104e+12	0.0000e+00	1.2384e+03	3.3866e+03	0.0000e+00
iteration 3	3.2194e+12	0.0000e+00	9.8262e+02	2.9568e+03	0.0000e+00
iteration 3	5.7251e+12	0.0000e+00	7.6204e+02	2.5064e+03	0.0000e+00
iteration 3	1.0181e+13	0.0000e+00	5.8894e+02	2.0629e+03	0.0000e+00
iteration 3	1.8104e+13	0.0000e+00	4.6479e+02	1.6642e+03	0.0000e+00
iteration 3	1.8104e+06	3.3858e+05	3.6708e+04	1.8720e+05	2.1889e+05
iteration 3	3.2194e+06	6.5707e+05	6.1230e+04	3.6249e+05	2.7806e+05
iteration 3	5.7251e+06	1.1893e+06	1.0276e+05	7.6316e+05	3.4362e+05
iteration 4	1.0181e+07	2.0613e+06	1.8378e+05	1.7500e+06	4.2174e+05
iteration 4	1.8104e+07	3.5069e+06	3.8796e+05	3.5799e+06	5.2284e+05
iteration 5	3.2194e+07	5.9877e+06	6.9483e+05	4.9184e+06	6.6209e+05
iteration 4	5.7251e+07	1.0380e+07	1.1028e+06	4.5251e+06	8.4940e+05
iteration 4	1.0181e+08	5.3429e+06	1.0630e+06	3.4610e+06	5.6930e+04
iteration 4	1.8104e+08	6.1488e+05	7.7615e+05	2.3207e+06	1.0434e+03
iteration 4	3.2194e+08	3.5605e+05	6.1139e+05	1.7031e+06	2.3112e+02
iteration 4	5.7251e+08	2.1124e+05	5.2822e+05	1.4285e+06	5.3824e+01
iteration 3	1.0181e+09	1.6409e+05	4.1677e+05	1.1016e+06	9.6591e+00
iteration 3	1.8104e+09	9.4905e+04	3.0024e+05	7.7871e+05	2.9921e-01
iteration 3	3.2194e+09	1.0176e+03	1.7986e+05	4.7159e+05	5.0588e-04
iteration 3	5.7251e+09	4.6292e+01	8.0218e+04	2.2225e+05	4.0912e-06
iteration 3	1.0181e+10	7.6077e+00	4.1213e+04	1.1312e+05	1.4374e-07
iteration 3	1.8104e+10	3.0070e+00	2.9119e+04	7.8825e+04	0.0000e+00
iteration 3	3.2194e+10	1.4086e+00	2.0325e+04	5.4511e+04	0.0000e+00
iteration 3	5.7251e+10	5.7903e-01	1.1724e+04	3.1167e+04	0.0000e+00
iteration 3	1.0181e+11	1.4049e-01	7.1012e+03	1.8473e+04	0.0000e+00
iteration 3	1.8104e+11	3.0802e-02	5.0521e+03	1.2690e+04	0.0000e+00
iteration 3	3.2194e+11	7.3969e-03	4.0183e+03	9.7849e+03	0.0000e+00
iteration 3	5.7251e+11	1.9674e-03	3.3432e+03	8.1183e+03	0.0000e+00
iteration 3	1.0181e+12	0.0000e+00	2.7737e+03	7.0134e+03	0.0000e+00
iteration 3	1.8104e+12	0.0000e+00	2.2446e+03	6.1389e+03	0.0000e+00
iteration 3	3.2194e+12	0.0000e+00	1.7663e+03	5.3155e+03	0.0000e+00
iteration 3	5.7251e+12	0.0000e+00	1.3635e+03	4.4846e+03	0.0000e+00
iteration 3	1.0181e+13	0.0000e+00	1.0510e+03	3.6812e+03	0.0000e+00
iteration 3	1.8104e+13	0.0000e+00	8.2822e+02	2.9653e+03	0.0000e+00
iteration 3	1.8104e+06	2.8606e+05	3.7370e+04	1.9447e+05	2.8601e+05
iteration 3	3.2194e+06	6.1671e+05	6.1838e+04	3.8153e+05	3.8480e+05
iteration 3	5.7251e+06	1.1964e+06	1.0254e+05	7.9446e+05	4.8876e+05
iteration 4	1.0181e+07	2.1635e+06	1.8396e+05	1.8037e+06	6.0396e+05
iteration 4	1.8104e+07	3.7478e+06	4.0639e+05	4.0493e+06	7.4355e+05
iteration 4	3.2194e+07	6.3795e+06	8.7249e+05	7.2178e+06	9.3060e+05
iteration 5	5.7251e+07	1.0899e+07	1.5313e+06	9.0640e+06	1.2008e+06
iteration 5	1.0181e+08	1.8911e+07	2.2999e+06	7.6639e+06	1.5866e+06
iteration 4	1.8104e+08	9.7432e+06	2.0560e+06	6.0534e+06	1.0015e+05
iteration 4	3.2194e+08	1.1135e+06	1.3876e+06	4.1350e+06	1.7686e+03
iteration 4	5.7251e+08	6.4055e+05	1.0754e+06	3.0211e+06	3.8046e+02
iteration 4	1.0181e+09	3.7803e+05	9.2983e+05	2.5168e+06	8.7076e+01
iteration 4	1.8104e+09	2.9215e+05	7.2801e+05	1.9149e+06	1.4986e+01
iteration 3	3.2194e+09	1.6042e+05	5.2970e+05	1.3620e+06	4.2591e-01
iteration 3	5.7251e+09	1.7295e+03	3.2077e+05	8.3021e+05	7.3661e-04
iteration 3	1.0181e+10	8.1917e+01	1.4335e+05	3.9180e+05	6.3284e-06
iteration 3	1.8104e+10	1.3493e+01	7.3237e+04	1.9827e+05	2.2307e-07
iteration 3	3.2194e+10	5.3335e+00	5.1567e+04	1.3708e+05	0.0000e+00
iteration 3	5.7251e+10	2.4990e+00	3.5903e+04	9.3821e+04	0.0000e+00
iteration 3	1.0181e+11	1.0272e+00	2.0647e+04	5.2932e+04	0.0000e+00
iteration 3	1.8104e+11	2.4918e-01	1.2409e+04	3.0915e+04	0.0000e+00
iteration 3	3.2194e+11	5.4567e-02	8.6477e+03	2.0983e+04	0.0000e+00
iteration 3	5.7251e+11	1.3075e-02	6.6215e+03	1.6063e+04	0.0000e+00
iteration 3	1.0181e+12	3.4658e-03	5.2392e+03	1.3248e+04	0.0000e+00
iteration 3	1.8104e+12	0.0000e+00	4.1291e+03	1.1296e+04	0.0000e+00
iteration 3	3.2194e+12	0.0000e+00	3.2016e+03	9.6368e+03	0.0000e+00
iteration 3	5.7251e+12	0.0000e+00	2.4511e+03	8.0625e+03	0.0000e+00
iteration 3	1.0181e+13	0.0000e+00	1.8806e+03	6.5869e+03	0.0000e+00
iteration 3	1.8104e+13	0.0000e+00	1.4781e+03	5.2916e+03	0.0000e+00
iteration 3	1.8104e+06	2.0832e+05	3.7880e+04	2.0734e+05	3.3332e+05
iteration 3	3.2194e+06	5.1857e+05	6.1976e+04	4.0639e+05	4.9273e+05
iteration 3	5.7251e+06	1.1172e+06	1.0173e+05	8.2973e+05	6.6278e+05
iteration 3	1.0181e+07	2.1663e+06	1.8523e+05	1.7958e+06	8.4228e+05
iteration 4	1.8104e+07	3.9153e+06	3.9850e+05	4.0142e+06	1.0447e+06
iteration 4	3.2194e+07	6.7782e+06	9.5007e+05	8.0689e+06	1.2962e+06
iteration 4	5.7251e+07	1.1534e+07	1.8770e+06	1.2300e+07	1.6535e+06
iteration 5	1.0181e+08	1.9668e+07	3.1079e+06	1.4840e+07	2.2303e+06
iteration 9	1.8104e+08	3.4045e+07	4.3086e+06	1.2448e+07	3.1012e+06
iteration 4	3.2194e+08	1.7644e+07	4.0014e+06	1.0276e+07	1.7331e+05
iteration 4	5.7251e+08	2.0229e+06	2.5501e+06	7.3023e+06	2.9425e+03
iteration 4	1.0181e+09	1.1538e+06	1.8975e+06	5.3568e+06	6.0752e+02
iteration 4	1.8104e+09	6.7700e+05	1.6361e+06	4.4371e+06	1.3615e+02
iteration 4	3.2194e+09	5.1974e+05	1.2715e+06	3.3299e+06	2.2246e+01
iteration 3	5.7251e+09	2.6841e+05	9.3561e+05	2.3782e+06	5.7173e-01
iteration 3	1.0181e+10	3.0363e+03	5.7931e+05	1.4687e+06	1.0635e-03
iteration 3	1.8104e+10	1.4513e+02	2.5801e+05	6.8738e+05	9.3596e-06
iteration 3	3.2194e+10	2.3952e+01	1.3094e+05	3.4492e+05	3.2984e-07
iteration 3	5.7251e+10	9.4689e+00	9.1793e+04	2.3610e+05	0.0000e+00
iteration 3	1.0181e+11	4.4355e+00	6.3571e+04	1.5963e+05	0.0000e+00
iteration 3	1.8104e+11	1.8222e+00	3.6164e+04	8.8791e+04	0.0000e+00
iteration 3	3.2194e+11	4.4169e-01	2.1251e+04	5.1232e+04	0.0000e+00
iteration 3	5.7251e+11	9.6469e-02	1.4247e+04	3.4501e+04	0.0000e+00
iteration 3	1.0181e+12	2.3034e-02	1.0375e+04	2.6238e+04	0.0000e+00
iteration 3	1.8104e+12	6.0749e-03	7.7998e+03	2.1349e+04	0.0000e+00
iteration 3	3.2194e+12	0.0000e+00	5.8908e+03	1.7737e+04	0.0000e+00
iteration 3	5.7251e+12	0.0000e+00	4.4442e+03	1.4619e+04	0.0000e+00
iteration 3	1.0181e+13	0.0000e+00	3.3817e+03	1.1843e+04	0.0000e+00
iteration 3	1.8104e+13	0.0000e+00	2.6453e+03	9.4690e+03	0.0000e+00
iteration 3	1.8104e+06	1.2614e+05	3.8418e+04	2.2575e+05	3.3393e+05
iteration 3	3.2194e+06	3.7775e+05	6.2055e+04	4.4164e+05	5.5912e+05
iteration 3	5.7251e+06	9.3836e+05	1.0141e+05	8.8575e+05	8.2551e+05
iteration 3	1.0181e+07	2.0195e+06	1.8445e+05	1.8402e+06	1.1110e+06
iteration 4	1.8104e+07	3.9136e+06	3.9166e+05	3.9177e+06	1.4163e+06
iteration 4	3.2194e+07	7.0691e+06	9.6339e+05	7.8964e+06	1.7700e+06
iteration 4	5.7251e+07	1.2224e+07	2.0491e+06	1.3846e+07	2.2315e+06
iteration 4	1.0181e+08	2.0742e+07	3.6216e+06	1.9394e+07	2.9712e+06
iteration 5	1.8104e+08	3.4999e+07	5.6965e+06	2.1796e+07	4.5192e+06
iteration 5	3.2194e+08	6.0131e+07	7.8577e+06	1.9628e+07	4.1461e+06
iteration 4	5.7251e+08	3.1523e+07	7.4255e+06	1.6880e+07	2.9187e+05
iteration 4	1.0181e+09	3.6888e+06	4.8598e+06	1.2610e+07	4.7455e+03
iteration 4	1.8104e+09	2.0806e+06	3.3938e+06	9.4708e+06	9.2676e+02
iteration 4	3.2194e+09	1.2131e+06	2.8859e+06	7.8313e+06	2.0230e+02
iteration 4	5.7251e+09	9.2481e+05	2.2207e+06	5.8085e+06	3.1164e+01
iteration 3	1.0181e+10	4.4492e+05	1.6534e+06	4.1566e+06	7.1318e-01
iteration 3	1.8104e+10	5.1662e+03	1.0444e+06	2.5806e+06	1.3884e-03
iteration 3	3.2194e+10	2.5666e+02	4.6787e+05	1.2009e+06	1.2962e-05
iteration 3	5.7251e+10	4.2537e+01	2.3574e+05	5.9592e+05	4.5655e-07
iteration 3	1.0181e+11	1.6816e+01	1.6376e+05	4.0340e+05	0.0000e+00
iteration 3	1.8104e+11	7.8753e+00	1.1177e+05	2.6932e+05	0.0000e+00
iteration 3	3.2194e+11	3.2282e+00	6.1973e+04	1.4787e+05	0.0000e+00
iteration 3	5.7251e+11	7.8035e-01	3.5004e+04	8.4535e+04	0.0000e+00
iteration 3	1.0181e+12	1.6983e-01	2.2321e+04	5.6475e+04	0.0000e+00
iteration 3	1.8104e+12	4.0348e-02	1.5449e+04	4.2328e+04	0.0000e+00
iteration 3	3.2194e+12	1.0568e-02	1.1132e+04	3.3538e+04	0.0000e+00
iteration 3	5.7251e+12	0.0000e+00	8.1808e+03	2.6913e+04	0.0000e+00
iteration 3	1.0181e+13	0.0000e+00	6.1339e+03	2.1477e+04	0.0000e+00
iteration 3	1.8104e+13	0.0000e+00	4.7581e+03	1.7027e+04	0.0000e+00
iteration 3	1.8104e+06	6.0763e+04	3.9209e+04	2.5134e+05	2.7778e+05
iteration 3	3.2194e+06	2.2963e+05	6.2815e+04	4.9063e+05	5.3831e+05
iteration 3	5.7251e+06	6.8609e+05	1.0265e+05	9.6768e+05	9.0058e+05
iteration 3	1.0181e+07	1.7001e+06	1.8997e+05	1.9476e+06	1.3296e+06
iteration 4	1.8104e+07	3.6513e+06	4.0799e+05	3.9340e+06	1.7938e+06
iteration 4	3.2194e+07	7.0722e+06	9.7156e+05	7.6507e+06	2.3031e+06
iteration 4	5.7251e+07	1.2746e+07	2.0987e+06	1.3818e+07	2.9194e+06
iteration 4	1.0181e+08	2.1953e+07	3.9798e+06	2.1566e+07	3.8249e+06
iteration 4	1.8104e+08	3.6656e+07	6.4123e+06	2.8145e+07	5.6563e+06
iteration 4	3.2194e+08	5.9262e+07	9.2573e+06	2.9833e+07	1.1422e+07
iteration 5	5.7251e+08	9.5693e+07	1.3391e+07	2.9091e+07	4.6939e+06
iteration 4	1.0181e+09	5.5603e+07	1.3219e+07	2.6578e+07	4.7563e+05
iteration 4	1.8104e+09	6.7591e+06	9.2552e+06	2.1040e+07	7.3062e+03
iteration 4	3.2194e+09	3.7625e+06	6.2512e+06	1.6491e+07	1.3301e+03
iteration 4	5.7251e+09	2.1774e+06	5.1437e+06	1.3778e+07	2.8172e+02
iteration 4	1.0181e+10	1.6449e+06	3.8796e+06	1.0176e+07	4.0592e+01
iteration 3	1.8104e+10	7.3582e+05	2.9134e+06	7.2949e+06	8.2403e-01
iteration 3	3.2194e+10	9.0891e+03	1.8913e+06	4.5767e+06	1.7450e-03
iteration 3	5.7251e+10	4.5283e+02	8.4874e+05	2.0961e+06	1.6571e-05
iteration 3	1.0181e+11	7.5515e+01	4.2352e+05	1.0263e+06	5.8315e-07
iteration 3	1.8104e+11	2.9859e+01	2.8882e+05	6.8666e+05	0.0000e+00
iteration 3	3.2194e+11	1.3976e+01	1.9156e+05	4.5285e+05	0.0000e+00
iteration 3	5.7251e+11	5.6993e+00	1.0202e+05	2.4566e+05	0.0000e+00
iteration 3	1.0181e+12	1.3714e+00	5.4828e+04	1.3890e+05	0.0000e+00
iteration 3	1.8104e+12	2.9675e-01	3.3249e+04	9.1272e+04	0.0000e+00
iteration 3	3.2194e+12	7.0000e-02	2.2065e+04	6.6548e+04	0.0000e+00
iteration 3	5.7251e+12	1.8161e-02	1.5472e+04	5.0909e+04	0.0000e+00
iteration 3	1.0181e+13	0.0000e+00	1.1299e+04	3.9549e+04	0.0000e+00
iteration 3	1.8104e+13	0.0000e+00	8.6345e+03	3.0884e+04	0.0000e+00
iteration 3	1.8104e+06	2.2382e+04	4.0584e+04	2.8883e+05	1.8701e+05
iteration 3	3.2194e+06	1.1138e+05	6.5204e+04	5.5539e+05	4.2391e+05
iteration 3	5.7251e+06	4.1981e+05	1.0785e+05	1.0863e+06	8.2052e+05
iteration 3	1.0181e+07	1.2517e+06	2.0627e+05	2.1231e+06	1.3735e+06
iteration 3	1.8104e+07	3.0904e+06	4.5366e+05	4.0925e+06	2.0330e+06
iteration 4	3.2194e+07	6.6213e+06	1.0184e+06	7.6162e+06	2.7573e+06
iteration 4	5.7251e+07	1.2779e+07	2.1379e+06	1.3331e+07	3.5835e+06
iteration 4	1.0181e+08	2.2883e+07	4.0394e+06	2.1756e+07	4.6778e+06
iteration 4	1.8104e+08	3.8536e+07	6.8751e+06	3.1162e+07	6.6915e+06
iteration 4	3.2194e+08	6.1280e+07	1.0083e+07	3.8833e+07	1.2407e+07
iteration 4	5.7251e+08	9.1346e+07	1.3895e+07	3.7969e+07	3.2093e+07
